,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1761,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(3, 1, 0)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1762,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1763,"(0, 1, 0)","(0, 1, 0)","(2, 1, 3)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1764,"(0, 1, 0)","(2, 1, 2)","(2, 1, 3)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1765,"(0, 1, 0)","(0, 1, 0)","(3, 1, 2)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1766,"(0, 1, 0)","(2, 1, 2)","(2, 1, 3)","(0, 1, 0)","(2, 1, 2)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1767,"(0, 1, 0)","(2, 1, 2)","(2, 1, 3)","(0, 1, 0)","(1, 0, 3)","(1, 0, 3)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 0, 3)"
1768,"(0, 1, 0)","(0, 1, 0)","(2, 1, 3)","(0, 1, 0)","(1, 0, 3)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1769,"(0, 1, 0)","(0, 1, 0)","(2, 1, 3)","(0, 1, 0)","(1, 0, 3)","(3, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1770,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(3, 0, 2)","(4, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
1771,"(0, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 2)","(1, 0, 3)","(1, 0, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 0, 3)"
