timestamp,BTC/USDT_open,BTC/USDT_high,BTC/USDT_low,BTC/USDT_close,BTC/USDT_volume,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,XRP/USDT_open,XRP/USDT_high,XRP/USDT_low,XRP/USDT_close,XRP/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,DOGE/USDT_open,DOGE/USDT_high,DOGE/USDT_low,DOGE/USDT_close,DOGE/USDT_volume,TRX/USDT_open,TRX/USDT_high,TRX/USDT_low,TRX/USDT_close,TRX/USDT_volume,BCH/USDT_open,BCH/USDT_high,BCH/USDT_low,BCH/USDT_close,BCH/USDT_volume,XMR/USDT_open,XMR/USDT_high,XMR/USDT_low,XMR/USDT_close,XMR/USDT_volume,EOS/USDT_open,EOS/USDT_high,EOS/USDT_low,EOS/USDT_close,EOS/USDT_volume,XLM/USDT_open,XLM/USDT_high,XLM/USDT_low,XLM/USDT_close,XLM/USDT_volume
2018-03-29 00:00:00+00:00,7924.0,10000.0,6976.74,7127.02,831.01054531,446.96,451.02001354,383.11999999,385.55999999,27110.36053637,0.5738,1.0,0.5001,0.5038,1087886.49603404,131.85999989,132.96000051,112.75,115.0,8418.79432588,0.3476,0.35549828,0.2871,0.2871,16338.99736063,0.1698,0.1715,0.1515,0.1525,3696343.87412835,0.003137,0.003194,0.00271248,0.00286,195230942.53072998,0.0491,0.05085,0.04283,0.043,25417141.0271799,858.01,865.0001991,700.0,715.55,376.1422511,198.85,199.71000017,177.23999995,177.24000002,215.52844066,6.205,6.2606,5.785,5.89,810331.05365616,0.218,0.2203,0.1881,0.19,240047.47172531
2018-03-30 00:00:00+00:00,7127.02,10100.0,6647.87,6880.00064762,1251.55069499,386.0,412.49000312,367.85,393.99001114,26314.77689978,0.5051,0.5276,0.4701,0.4985,1518582.0645332,114.76999992,125.94000063,110.0,118.88,11720.52555417,0.2787,0.3073,0.2775,0.2775,16639.42878397,0.1522,0.1613,0.1419,0.1538,3438780.87527,0.00286,0.00291,0.00258844,0.002756,261539353.08585587,0.04284,0.0466,0.03894,0.04285,33197037.30639835,717.04022305,771.90000006,677.29999989,700.0,476.16771696,178.13,180.0,161.80999984,174.77999983,292.77957265,5.89997713,7.0,5.7453,6.0367,755262.97284541,0.1898,0.2097,0.176,0.1863,274486.40786881
2018-03-31 00:00:00+00:00,6866.0,8500.0,6800.0,6930.79865807,633.84909434,393.99,420.0,390.46,394.65,16910.58001349,0.499,0.51970768,0.4933,0.4968,832667.57712417,118.8,123.89361702,116.0,116.91,5669.68476247,0.3035,0.3052,0.2745,0.2941,11762.29220518,0.1538,0.1598,0.148,0.1561,1638549.60524217,0.002789,0.002897,0.00251414,0.002767,134659590.0339746,0.0419,0.044,0.03353,0.0337,64146084.88217598,696.32,734.0,683.6,683.6,226.40326959,175.3600042,180.00000215,168.82999988,177.08,64.27850922,6.0367,6.1255,5.9165,5.9529,379018.33182471,0.1903,0.219,0.188,0.2066,445381.14463048
2018-04-01 00:00:00+00:00,6930.76002002,7571.42857143,6468.89999995,6800.01,617.00240261,395.0,510.0,358.88,377.08,18005.67875232,0.5011,0.5068,0.4524,0.477,810363.10521997,117.02,118.46,109.9499999,114.37,3229.03855644,0.2745,0.3016,0.2557,0.2773,4856.27734353,0.153,0.1578,0.1457,0.15200011,1445829.25143819,0.002767,0.002782,0.00235215,0.002653,112933260.67622846,0.03363,0.03498,0.02812,0.032,30345790.07056846,688.54,699.98,621.93997681,639.28,273.0500589,177.65999997,183.0,161.22,174.0,410.16516947,5.95,6.0,5.154,5.57,692452.0373045,0.2046,0.2116,0.1902,0.2031,208525.34919659
2018-04-02 00:00:00+00:00,6805.0,7407.25,6748.0,7044.0,914.63221774,377.08,395.7000243,373.72,385.0,11906.30284813,0.477,0.502,0.47,0.4923,561030.82683522,114.42,124.13793103,114.42,118.63,3802.50368719,0.2479,0.2956,0.2478,0.276,10929.76530587,0.1528,0.1603,0.1471,0.1589,1067233.16947953,0.002651,0.002758,0.00205128,0.002721,84797509.76672769,0.03203,0.03572003,0.0308,0.03571,22740271.31045585,644.98,682.00999999,638.91,655.0,158.22308154,174.0,181.39,174.0,177.0,79.25524301,5.5977,5.891,5.0,5.7996,388935.41491791,0.203,0.2315,0.2023,0.22360066,283977.27971322
2018-04-03 00:00:00+00:00,7045.57077253,7521.79166667,7000.0,7410.0,576.82633427,385.0,417.1800015,381.0,414.6,11749.88591458,0.4929,0.5529,0.4865,0.5471,1267310.72288943,118.4,136.38000002,117.94999989,134.37,6112.28801647,0.2866,0.2902,0.2821,0.2902,10959.86766465,0.1578,0.1791,0.1562,0.1759,3479854.93521756,0.002711,0.003,0.002696,0.002954,156165002.50469574,0.03572,0.03590006,0.03307,0.03481,15766069.43188072,659.96999879,720.00005385,659.96999879,702.98996746,123.01244584,178.15999993,191.57,176.07,185.85,219.12105695,5.7975,6.1,5.0,6.028,436163.64368743,0.223,0.25,0.2207,0.2283,313882.64134689
2018-04-04 00:00:00+00:00,7410.0,7410.0,6733.95,6816.77000024,646.45427654,414.6,416.04000004,373.11,380.0,16924.38232636,0.5471,0.555,0.4857,0.4914,1078667.70657141,134.0,134.14000369,115.4,118.45999998,8175.7579029,0.2765,0.2913,0.2765,0.27931471,13964.89496905,0.176,0.1779,0.1563,0.1616,2846010.52250968,0.002955,0.00296,0.0027,0.002761,115147911.3926186,0.03481,0.03505,0.02879,0.03049,33843296.73842612,703.42,703.42000009,638.85,638.89,129.86928323,183.5,186.62000259,168.0,170.0,457.91633057,6.04,6.059,5.536,5.675,445177.16025242,0.2305,0.2346,0.201,0.208,309968.03195165
2018-04-05 00:00:00+00:00,6810.0,10000.0,6609.64,6790.36,627.3958645,378.67,385.69000617,367.88,382.11,12419.80165674,0.4914,0.4999,0.4761,0.4934,1167525.34148645,118.46,125.27272727,114.37,118.89,4544.54712252,0.2924,0.3028,0.281,0.28840036,21454.04953285,0.16130055,0.1638,0.15,0.1578,3666864.12695783,0.002751,0.00287,0.0026079,0.002767,95818948.1928507,0.03017,0.045,0.02886,0.03892,130505638.8336244,647.95999998,659.84,616.37999987,640.01,215.82582925,168.0,184.99,163.01999997,175.52,1231.55503006,5.6723,6.3899,5.456,6.28000001,854234.66179653,0.2078,0.2081,0.191,0.1955,596470.74399544
2018-04-06 00:00:00+00:00,6783.12,6839.64798827,6527.0,6606.0,468.25785862,382.0,385.05,364.80002215,370.78,9835.78150897,0.4925,0.4932,0.4614,0.47159404,610357.87092605,118.88,120.00000004,112.41,113.0,4776.65173206,0.2884,0.2889,0.2715,0.2715,24331.81648058,0.1582,0.1594,0.1492,0.1516,1858783.51579255,0.00276,0.002809,0.00247525,0.002674,99727708.588836,0.03945,0.04349,0.03524,0.03636,42477940.90648656,644.98,644.98,601.88,602.11,82.86565915,180.24000135,180.49,160.0,160.0,2084.61400207,6.278,6.32500001,5.7015,5.8413,737008.31199786,0.1965,0.1973,0.1855,0.1921,457388.38857974
2018-04-07 00:00:00+00:00,6606.0,7142.85714286,6580.42,6881.02019261,519.35797524,370.77,398.0000004,368.41999998,385.40000617,12207.54922254,0.4718,0.4938,0.4686,0.482,510901.63687248,113.31,200.0,113.0,115.74,3597.51045816,0.2715,0.3006,0.27149999,0.2891,10326.62041493,0.1516,0.1643,0.1514,0.1561,3411176.37039323,0.002687,0.002834,0.002648,0.002762,98434538.411834,0.03611,0.0386,0.03588,0.03706,39932397.66030604,601.95999999,652.96,601.95999999,634.28,132.70559281,161.2499999,173.03,160.0,166.8,791.57352906,5.8408,6.0028,5.785,5.8829,483440.69077932,0.1922,0.2099,0.1913,0.2016,351008.81944935
