,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1214,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(1, 1, 1)","(2, 1, 1)","(1, 0, 0)","(1, 0, 2)","(1, 0, 2)"
1215,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(2, 1, 2)","(0, 1, 0)"
1216,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(2, 0, 2)","(1, 0, 2)","(1, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)"
1217,"(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(2, 0, 0)","(2, 1, 2)","(1, 0, 2)","(1, 1, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1218,"(1, 1, 0)","(0, 1, 0)","(2, 1, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(3, 0, 1)","(1, 0, 0)","(3, 0, 2)","(1, 0, 2)"
1219,"(0, 1, 0)","(3, 0, 1)","(2, 1, 2)","(1, 0, 0)","(1, 0, 0)","(2, 1, 1)","(1, 0, 2)","(2, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1220,"(0, 1, 0)","(3, 0, 1)","(0, 1, 1)","(1, 0, 0)","(0, 1, 0)","(0, 0, 3)","(3, 0, 0)","(1, 0, 2)","(2, 0, 0)","(0, 1, 0)"
1221,"(0, 1, 0)","(2, 0, 3)","(2, 1, 0)","(1, 1, 0)","(0, 0, 3)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)"
1222,"(0, 1, 0)","(2, 1, 0)","(2, 1, 2)","(1, 0, 2)","(0, 1, 0)","(2, 0, 3)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1223,"(0, 1, 0)","(2, 1, 0)","(0, 1, 0)","(3, 0, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)"
1224,"(2, 1, 2)","(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 2)","(3, 0, 1)","(1, 0, 1)"
1225,"(0, 1, 0)","(2, 1, 0)","(2, 1, 2)","(1, 0, 0)","(0, 1, 0)","(3, 0, 1)","(0, 1, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)"
1226,"(0, 1, 0)","(1, 0, 1)","(2, 1, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(2, 0, 2)","(0, 1, 1)"
1227,"(0, 1, 0)","(1, 0, 1)","(0, 1, 1)","(2, 0, 2)","(1, 0, 0)","(1, 0, 2)","(0, 1, 0)","(0, 0, 3)","(1, 0, 0)","(1, 0, 0)"
1228,"(0, 1, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 2)","(1, 0, 0)","(1, 0, 2)"
1229,"(0, 1, 0)","(1, 0, 0)","(0, 1, 1)","(2, 0, 2)","(1, 0, 2)","(1, 1, 0)","(2, 0, 0)","(1, 0, 0)","(3, 0, 1)","(1, 0, 0)"
1230,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 2)","(2, 0, 2)","(1, 0, 3)","(1, 0, 2)"
1231,"(0, 1, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(2, 0, 0)","(2, 0, 2)","(0, 0, 3)"
1232,"(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(0, 0, 3)","(2, 0, 0)","(1, 0, 2)","(1, 0, 0)"
1233,"(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)","(2, 0, 2)","(2, 0, 0)","(0, 1, 0)","(1, 0, 2)","(2, 0, 0)","(1, 0, 0)"
1234,"(0, 1, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 2)","(1, 0, 2)","(0, 0, 4)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(3, 0, 0)"
1235,"(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)"
1236,"(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 3)","(1, 0, 2)","(1, 0, 0)"
1237,"(1, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 1)","(1, 0, 1)","(0, 0, 4)","(0, 0, 3)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)"
1238,"(0, 1, 0)","(2, 0, 2)","(1, 0, 0)","(2, 0, 2)","(1, 0, 0)","(3, 0, 1)","(2, 0, 0)","(1, 0, 3)","(1, 0, 2)","(2, 0, 0)"
1239,"(0, 1, 0)","(3, 0, 2)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 2)","(4, 0, 1)","(1, 0, 2)"
